topic,female_rights,male_rights,female_wrongs,male_wrongs,chi_state,critical,p_value
Religion,4713,8814,1033,1813,2.185701897,3.841458821,0.139297548
Science,3110,6660,742,1256,21.20171937,3.841458821,4.13393E-06
Art,3075,4671,528,934,6.628928143,3.841458821,0.010033562
Geography/Local,3741,7257,804,1371,6.994051884,3.841458821,0.008178101
Geography/World,5780,12741,1896,3136,75.42158844,3.841458821,3.8021E-18
Geography/U.S.,4218,8899,1242,2085,32.03506634,3.841458821,1.51415E-08
Literature,7762,12923,1678,2610,3.904417879,3.841458821,0.048159309
Television,5864,9682,765,1378,3.288525658,3.841458821,0.069765641
Academics,2509,4766,587,969,5.899206943,3.841458821,0.015147704
Food & Drink,4530,6616,572,994,9.682618845,3.841458821,0.001860193
Law,3751,7413,793,1393,5.835893235,3.841458821,0.015702435
Business,3419,6542,699,1272,0.946745662,3.841458821,0.330549047
Random/Clue Crew,2133,4446,531,906,10.91047502,3.841458821,0.00095622
Human Body,3181,5402,502,925,1.865387836,3.841458821,0.172004252
Animals,4864,8118,918,1607,1.115464394,3.841458821,0.290897188
Music/General,6665,11426,1032,1717,0.501153755,3.841458821,0.478993611
Film,7647,13766,1167,1948,3.625544724,3.841458821,0.056898943
Music/Classical,3819,6577,776,1398,0.839662627,3.841458821,0.359493277
History/General,4573,9702,1252,2078,37.73691082,3.841458821,8.09581E-10
U.S. Politics,4521,9992,1312,2290,36.75066984,3.841458821,1.34244E-09
History/War,3160,7418,855,1529,32.6576118,3.841458821,1.09908E-08
Words,8198,13981,1315,2212,0.134438811,3.841458821,0.713873404
Sports,2831,7406,635,1040,73.38999445,3.841458821,1.06404E-17
Random/Games,5262,9583,788,1466,0.202334197,3.841458821,0.65284331
Random/Colors,3033,5079,513,891,0.370406602,3.841458821,0.542782719
