name,proportion,percentage,population,contestants
Alabama,169075.3448,56.88111406,"4,903,185",29
Alaska,104506.4286,74.20903998,"731,545",7
Arizona,207963.3429,46.4450035,"7,278,717",35
Arkansas,150890.2,61.76133911,"3,017,804",20
California,67197.65816,84.22134384,"39,512,223",588
Colorado,127971.9111,67.9117662,"5,758,736",45
Connecticut,55707.60938,87.30485098,"3,565,287",64
Delaware,54098,87.73681102,"973,764",18
District of Columbia,8401.77381,100,"705,749",84
Florida,180485.1849,53.819132,"21,477,737",119
Georgia,93959.49558,77.03944947,"10,617,423",113
Hawaii,157319.1111,60.03605546,"1,415,872",9
Idaho,255295,33.74292491,"1,787,065",7
Illinois,70792.29609,83.25667503,"12,671,821",179
Indiana,164200.4634,58.18935321,"6,732,219",41
Iowa,105169,74.03123014,"3,155,070",30
Kansas,153332.3158,61.10596491,"2,913,314",19
Kentucky,95056.87234,76.74495385,"4,467,673",47
Louisiana,136729.2353,65.56162199,"4,648,794",34
Maine,134421.2,66.18101391,"1,344,212",10
Maryland,45456.2406,90.05594189,"6,045,680",133
Massachusetts,47864.60417,89.40962555,"6,892,503",144
Michigan,129699.4416,67.44816047,"9,986,857",77
Minnesota,122600.6957,69.35320318,"5,639,632",46
Mississippi,297614.9,22.3858179,"2,976,149",10
Missouri,157369.9487,60.02241251,"6,137,428",39
Montana,178129.6667,54.45126659,"1,068,778",6
Nebraska,322401.3333,15.73404944,"1,934,408",6
Nevada,205343.7333,47.14801049,"3,080,156",15
New Hampshire,64748.14286,84.87870379,"1,359,711",21
New Jersey,75916.15385,81.88161977,"8,882,190",117
New Mexico,174735.75,55.36206918,"2,096,829",12
New York,58772.08761,86.48245756,"19,453,561",331
North Carolina,184001.4737,52.87548922,"10,488,084",57
North Dakota,381031,0,"762,062",2
Ohio,100768.1034,75.21226915,"11,689,100",116
Oklahoma,141320.3929,64.32952391,"3,956,971",28
Oregon,98086.90698,75.93180382,"4,217,737",43
Pennsylvania,95537.23134,76.61604313,"12,801,989",134
Rhode Island,132420.125,66.71802895,"1,059,361",8
South Carolina,160897.3125,59.07579761,"5,148,714",32
South Dakota,221164.75,42.90223063,"884,659",4
Tennessee,189699.2778,51.34640784,"6,829,174",36
Texas,204196.3451,47.45592737,"28,995,881",142
Utah,320595.8,16.21858828,"3,205,958",10
Vermont,51999.08333,88.30008318,"623,989",12
Virginia,54714.86538,87.57126701,"8,535,519",156
Washington,102903.9595,74.63908384,"7,614,893",74
West Virginia,162922.4545,58.53232386,"1,792,147",11
Wisconsin,194081.1333,50.17047873,"5,822,434",30
Wyoming,192919.6667,50.48217373,"578,759",3
