state,proportion
Alabama,53295
Alaska,36577
Arizona,55990
Arkansas,64209
California,18603
Colorado,35769
Connecticut,17141
Delaware,18373
District of Columbia,2476
Florida,50655
Georgia,30163
Hawaii,30780
Idaho,74461
Illinois,21120
Indiana,41815
Iowa,42636
Kansas,42843
Kentucky,31462
Louisiana,34436
Maine,24440
Maryland,13143
Massachusetts,12156
Michigan,38559
Minnesota,35921
Mississippi,93005
Missouri,38600
Montana,38171
Nebraska,41158
Nevada,49680
New Hampshire,19151
New Jersey,20419
New Mexico,47655
New York,16556
North Carolina,45207
North Dakota,108866
Ohio,32201
Oklahoma,53473
Oregon,27567
Pennsylvania,24109
Rhode Island,19261
South Carolina,46385
South Dakota,49148
Tennessee,49487
Texas,60033
Utah,91599
Vermont,13565
Virginia,16135
Washington,29862
West Virginia,49782
Wisconsin,41589
Wyoming,38584
